country,name,iso_code
MX,Aguascalientes,AGU
MX,Baja California,BCN
MX,Baja California Sur,BCS
MX,Campeche,CAM
MX,Chiapas,CHP
MX,Chihuahua,CHH
MX,Coahuila,COA
MX,Colima,COL
MX,Distrito Federal,DIF
MX,Durango,DUR
MX,Guanajuato,GUA
MX,Guerrero,GRO
MX,Hidalgo,HID
MX,Jalisco,JAL
MX,Estado de México,MEX
MX,Michoacán,MIC
MX,Morelos,MOR
MX,Nayarit,NAY
MX,Nuevo León,NLE
MX,Oaxaca,OAX
MX,Puebla,PUE
MX,Querétaro,QUE
MX,Quintana Roo,ROO
MX,San Luis Potosí,SLP
MX,Sinaloa,SIN
MX,Sonora,SON
MX,Tabasco,TAB
MX,Tamaulipas,TAM
MX,Tlaxcala,TLA
MX,Veracruz,VER
MX,Yucatán,YUC
MX,Zacatecas,ZAC
